"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.746612583E0,1.266658938E0,2.527620349E0,5.860026902E0,6.506397220E0
1.756686583E0,3.211735225E-1,1.048154336E0,6.149181072E0,6.246135429E0
1.766759583E0,-3.406346349E0,-3.645308604E0,6.977952554E0,8.578070419E0
1.776833583E0,-7.776216774E0,-9.277613938E0,6.290909393E0,1.364255140E1
1.786906583E0,-5.028204342E0,-5.585479662E0,3.243020167E0,8.185206275E0
1.796980583E0,-2.770981464E0,-2.177752200E0,2.550946062E0,4.350663022E0
1.807053583E0,-2.100105854E0,3.103006250E-1,1.874089919E0,2.831774020E0
1.817127583E0,-1.797934613E0,2.283955178E0,1.571380963E-2,2.906762297E0
1.827200583E0,-1.764441762E0,3.146051112E0,-1.610535445E0,3.950280592E0
1.837273583E0,-2.308705273E0,3.701374047E0,-2.301015015E0,4.932034060E0
1.847347583E0,-3.026632842E0,4.118874015E0,-1.576334496E0,5.348874644E0
1.857420583E0,-3.615611473E0,3.136982081E0,-3.421848341E-1,4.798999204E0
1.867494583E0,-3.045890062E0,6.223975146E-1,1.446560807E0,3.428901151E0
1.877567583E0,-2.957712589E0,-2.024138244E0,3.285571525E0,4.862116785E0
1.887641583E0,-4.208717068E0,-3.115074903E0,2.986219811E0,6.027810529E0
1.897714583E0,-5.202871783E0,-2.084832927E0,1.647012715E0,5.842007704E0
1.907788583E0,-4.914169604E0,3.893888944E-1,1.147245346E0,5.061309958E0
1.917861583E0,-4.763560239E0,2.274372761E0,1.948563566E0,5.626826599E0
1.927934583E0,-4.296980496E0,3.823061036E0,2.167892625E0,6.146510840E0
1.938008583E0,-3.548782184E0,3.540974396E0,1.902048966E0,5.361916162E0
1.948081583E0,-2.851206140E0,7.017886698E-1,1.334815253E0,3.225463618E0
1.958155583E0,-1.819595185E0,-7.436775380E-1,1.184408494E0,2.294952374E0
1.968228583E0,-1.477509534E-1,-2.579342480E0,1.716105169E0,3.101589096E0
1.978302583E0,-9.713248461E-2,-6.521339976E0,1.968748155E0,6.812729196E0
1.988375583E0,3.212572838E-1,-1.036332903E1,-3.124744736E-2,1.036835432E1
1.998449583E0,1.595299355E0,-1.566979184E1,-7.272213682E0,1.734855753E1
2.008522583E0,4.213383731E0,-1.667526501E1,-1.356877382E1,2.190727479E1
2.018595583E0,5.942794240E0,-1.278567845E1,-1.419157363E1,2.000477790E1
2.028669583E0,5.204244125E0,-8.529343413E0,-9.856881806E0,1.403538296E1
2.038742583E0,3.517328256E0,-5.840677881E0,-6.600455142E0,9.489527083E0
2.048816583E0,1.853910009E0,-5.036883364E0,-3.891307983E0,6.629438450E0
2.058889583E0,1.032954061E0,-3.404528450E0,-1.367012361E0,3.811368632E0
2.068963583E0,7.511163658E-1,-8.613229322E-1,3.229415743E-1,1.187579155E0
2.079036583E0,4.129335853E-1,1.610216771E0,1.583226170E0,2.295630045E0
2.089109583E0,-2.353491144E-1,3.220678541E0,2.099299085E0,3.851651090E0
2.099183583E0,-1.469694000E0,3.744002588E0,2.118768997E0,4.546068400E0
2.109256583E0,-2.153892637E0,4.528273836E0,3.397449811E0,6.056994522E0
2.119330583E0,-1.236467278E0,8.118365428E0,5.685093412E0,9.987842393E0
2.129403583E0,-4.775087732E-1,1.007014262E1,7.463636320E0,1.254359016E1
2.139477583E0,-5.464011066E-1,6.607554832E0,6.338225062E0,9.172318788E0
2.149550583E0,-3.411134049E-1,9.874239850E-1,1.756573749E0,2.043750429E0
2.159624583E0,-1.720277157E-1,-2.888656095E0,-2.627038510E0,3.908357571E0
2.169697583E0,2.744428673E-1,-4.308898584E0,-4.736788762E0,6.409297439E0
2.179770583E0,1.008319302E0,-4.662452232E0,-4.911078765E0,6.846448954E0
2.189844583E0,1.073343410E0,-4.405672926E0,-4.584985688E0,6.448574553E0
2.199917583E0,1.239275842E0,-2.568169035E0,-3.878122804E0,4.813640337E0
2.209991583E0,6.369532809E-1,-1.390870755E0,-1.933443836E0,2.465448439E0
2.220064583E0,1.190443406E-1,-1.321131599E-1,5.680499840E-1,5.952362777E-1
2.230138583E0,-3.993206826E-1,1.076544907E0,2.483749567E0,2.736314649E0
2.240211583E0,-1.178163668E0,1.507187077E0,3.369533449E0,3.874717819E0
2.250284583E0,-1.839002532E0,1.985646023E0,4.774188138E0,5.487949783E0
2.260358583E0,-2.582640894E0,2.168974360E0,5.050921944E0,6.073408948E0
2.270431583E0,-3.201566917E0,2.244304039E0,2.945772574E0,4.895355697E0
2.280505583E0,-3.792829762E0,2.806867581E0,1.842155643E0,5.065333221E0
2.290578583E0,-4.176923126E0,3.216508307E0,9.493419465E-1,5.356665252E0
2.300652583E0,-3.943520403E0,3.421430411E0,7.864563525E-2,5.221467645E0
2.310725583E0,-3.118821214E0,3.395430767E0,-3.558992592E-1,4.624138854E0
2.320799583E0,-2.092726376E0,2.252749173E0,-1.055475927E0,3.250909404E0
2.330872583E0,-1.192906253E0,8.084535778E-1,-1.875617212E0,2.365282740E0
2.340945583E0,-3.589547217E-1,-2.103494900E-1,-2.527209874E0,2.561227274E0
2.351019583E0,6.419897801E-1,-1.125258061E0,-3.478804168E0,3.712200833E0
2.361092583E0,1.353346541E0,-1.955958540E0,-3.451757288E0,4.191890867E0
2.371166583E0,1.503172087E0,-2.474567392E0,-2.279888440E0,3.685227455E0
2.381239583E0,1.145604909E0,-2.295723284E0,-5.251232350E-1,2.618875793E0
2.391313583E0,5.513792798E-1,-1.398905999E0,1.117281289E0,1.873305790E0
2.401386583E0,1.507608077E-1,-6.699564278E-2,1.748977923E0,1.756741590E0
2.411459583E0,-8.819355369E-2,1.194221292E0,1.511109390E0,1.928054507E0
2.421533583E0,-1.443759406E-1,1.954746412E0,1.365776260E0,2.388979435E0
2.431606583E0,2.088309681E-1,2.405031719E0,6.515610874E-1,2.500463915E0
2.441680583E0,8.032784995E-1,2.836849764E0,-8.201325139E-1,3.060325191E0
2.451753583E0,1.391637325E0,3.077466781E0,-2.313467830E0,4.093847779E0
2.461827583E0,1.833788570E0,2.897543278E0,-2.698344428E0,4.363439036E0
2.471900583E0,2.075149353E0,2.451363301E0,-8.645429939E-1,3.326088012E0
2.481974583E0,2.060039271E0,1.803657868E0,1.428266623E0,3.088185397E0
2.492047583E0,2.151074864E0,7.202547616E-1,1.295624290E0,2.612380579E0
2.502120583E0,2.810621786E0,-6.049926925E-1,-2.775788460E0,3.996324881E0
2.512194583E0,3.319075194E0,-2.418791971E0,-5.673985457E0,7.004350484E0
2.522267583E0,3.145623973E0,-3.873056484E0,-4.158680690E0,6.495393891E0
2.532341583E0,2.763478317E0,-4.188105633E0,-2.747306673E0,5.720553746E0
2.542414583E0,2.006244010E0,-3.415372111E0,-2.180423793E0,4.521507448E0
2.552488583E0,1.076283829E0,-2.630200977E0,-1.824640601E0,3.377226285E0
2.562561583E0,1.532096216E-1,-2.074441255E0,-1.670847135E0,2.668053571E0
2.572634583E0,-5.303635097E-1,-1.883081183E0,-1.869736667E0,2.706140314E0
2.582708583E0,-8.869939631E-1,-2.144315482E0,-2.372997748E0,3.319030806E0
2.592781583E0,-6.973444936E-1,-2.870195850E0,-2.853022285E0,4.106586140E0
2.602855583E0,8.062023997E-2,-3.885368382E0,-2.966234028E0,4.888878337E0
2.612928583E0,9.300133905E-1,-5.276702237E0,-2.523831061E0,5.922688125E0
2.623002583E0,1.896419559E0,-7.464843770E0,-1.686133219E0,7.884373461E0
2.633075583E0,2.853755819E0,-1.000277568E1,-9.293947551E-1,1.044333368E1
2.643149583E0,4.116340124E0,-1.269332402E1,-1.015192412E0,1.338265094E1
2.653222583E0,5.842049053E0,-1.487382909E1,-1.767422673E0,1.607744108E1
2.663295583E0,7.540893241E0,-1.568087466E1,-1.357696577E0,1.745274308E1
2.673369583E0,8.815139526E0,-1.468661878E1,-3.469898567E-1,1.713253800E1
2.683442583E0,9.764943695E0,-1.342443297E1,8.039911290E-1,1.661974511E1
2.693516583E0,1.105668485E1,-1.189512061E1,9.553531766E-1,1.626827815E1
2.703589583E0,1.151915634E1,-8.912788612E0,-2.750202799E-1,1.456723720E1
2.713663583E0,9.304340392E0,-4.624882118E0,-1.344569578E0,1.047702974E1
2.723736583E0,4.964655633E0,-1.431801265E0,-1.016634628E0,5.266061753E0
2.733809625E0,1.301489047E0,6.626947707E-1,-3.412994926E-1,1.499841139E0
2.743883625E0,-1.484344345E0,2.673188537E0,4.144566388E-1,3.085610052E0
2.753956625E0,-3.591297289E0,4.764610691E0,1.135614649E0,6.073594643E0
2.764030625E0,-4.833786176E0,6.188227608E0,1.004923386E0,7.916408323E0
2.774103625E0,-5.033407195E0,7.147916495E0,6.308106346E-1,8.765033957E0
2.784177625E0,-4.995488586E0,8.055425414E0,5.590033181E-1,9.495118195E0
2.794250625E0,-4.885352186E0,8.994992278E0,8.039522450E-1,1.026756501E1
2.804324625E0,-4.939845897E0,9.684590673E0,9.313947952E-1,1.091150174E1
2.814397625E0,-5.338174599E0,1.000563848E1,8.299840491E-1,1.137091830E1
2.824470625E0,-5.288562144E0,9.944570160E0,9.915288766E-1,1.130692243E1
2.834544625E0,-4.919190023E0,9.749464946E0,1.552058172E0,1.102993118E1
2.844617625E0,-4.625453098E0,9.576055241E0,2.109458914E0,1.084183874E1
2.854691625E0,-4.407627066E0,9.410000163E0,2.322432196E0,1.064748659E1
2.864764625E0,-4.245448400E0,9.406186609E0,2.546126786E0,1.062934336E1
2.874838625E0,-4.070150337E0,9.446556956E0,2.742532421E0,1.064542372E1
2.884911625E0,-3.877051302E0,9.487599147E0,2.845532295E0,1.063687541E1
2.894984625E0,-3.685690060E0,9.502667422E0,2.897495331E0,1.059624832E1
2.905058625E0,-3.484483569E0,9.491678749E0,2.906645054E0,1.052055971E1
